Chinese,English 
如果所有孩子节点都勾选了,If all child nodes are checked
是否隐藏顶级,Whether to hide the top
多选框,Checkbox
非字符串类型,non-string type
如果要使用代码编辑器,If you want to use the code editor
在顶部工具栏中,in the top toolbar
及以后版本废弃,and later versions obsolete
现有,existing
选中状态,selected state
处理是否追加事件变量,Handle whether to append event variables
配置面板包含多种动作的情况,When the configuration panel contains multiple actions
选中所有选项的,with all options selected
长安镇,Chang'an Town
更加便捷的配置默认值,More convenient configuration defaults
比如以上例子中的,such as in the above example
支持相对值,support for relative values
表单描述文字,form description text
容器下生效,Take effect under the container
内表单项是横着展示一排,The inner table items are displayed horizontally in a row
之后的版本提供了新的,Later versions provided new
河口区,Estuary District
如果不设置将会是,If not set it will be
种预设样式,preset styles
删除条件,delete condition
新野县,Xinye County
此方法应该判断文本长度,This method should determine the text length
乐山市市辖区,Districts of Leshan City
第二个参数是上下文数据,The second parameter is the context data
配置面板带提示信息的,Configuration panel with prompt information
指向有问题,pointing to a problem
科尔沁左翼中旗,Horqin Left Middle Banner
鼠标停留时弹出该段文字,The text pops up when the mouse hovers
要严格比较前后的,To strictly compare before and after
将文件以,Save the file as
可配置发送体格式为,The configurable sending body format is
属性与,attribute with
登封市,Dengfeng
默认只更新变量提升性能,"By default, only variables are updated to improve performance"
用于放一些关键的,used to put some key
做了精简,streamlined
配置禁用,configuration disabled
获取上下文,get context
增加默认拖拽过程中元素,Add elements in the default dragging process
需要分别在,need to be in
相对窄,relatively narrow
并复制配置到剪切板,And copy the configuration to the clipboard
如何跳转等等,how to jump etc.
不能直接让,can not directly let
子菜单管理,Submenu management
每个格子的配置,Configuration of each grid
太康县,Taikang County
长垣县,Changyuan County
仅展开,expand only
描述占位,description placeholder
类名实现,class name implementation
分为四类,Divided into four categories
统计数据,Statistical data
部门可选,department optional
表单项都会根据上层,Form items will be based on the upper layer
如何定义编辑器脚手架,How to define editor scaffolding
王益区,Wang Yi District
通过接口自动补全,Autocompletion via interface
有时候会拿不到,sometimes not available
获取菜单接口,Get menu interface
郊区,suburbs
关闭图标,close icon
宁海县,Ninghai County
武进区,Wujin District
编写使用,write using
而且有包含不是,and there is no
唯一标识字段,unique identifier field
记录上次交换时的鼠标位置,Record the mouse position at the time of the last swap
不能使用当前变量,cannot use current variable
默认高度为父容器高度,The default height is the height of the parent container
可以支持嵌套展示,Can support nested display
默认是文本,default is text
拉取,Pull
中表达式有两种语法,There are two syntaxes for expressions in
略阳县,Lueyang County
如果允许上传的文件比较大,If the uploaded file is allowed to be relatively large
正确的做法是使用,The correct approach is to use
属性实现渲染器事件与响应动作的绑定,Attributes realize the binding of renderer events and response actions
也有可能是表单提交,It may also be a form submission
下面这个页面就是通过树形组合出来的,The following page is composed of trees
版本开始将支持变量,The version starts to support variables
当切分页的时候,when paging
同时可以选择性的去掉一些隐藏属性,"At the same time, some hidden attributes can be selectively removed"
虎林市,Hulin City
紫阳县,Ziyang County
每列显示几个字段,How many fields are displayed in each column
水林乡,Shuilin Township
如果希望结果是数组,If you want the result to be an array
将父容器改成,Change the parent container to
没去不太清楚这个是什么,Didn't know what this is
请通过网络面板查看接口请求返回,Please check the interface request return through the network panel
版本封装成,version packaged as
删除事件,delete event
那肯定是版本较老,That must be an older version
范县,Fan County
调整二维码纠错等级,Adjust QR code error correction level
中英文间自动加空格,Automatically add spaces between Chinese and English
项目到自己的账号下,Project to your own account
检查当前单元格数据是否为富文本,Check if the current cell data is rich text
支持模版语法,Support template syntax
开发指南,development guide
的按钮必须重新提交一次,button must be resubmitted once
石柱土家族自治县,Shizhu Tujia Autonomous County
来远程拉取图标配置,To remotely pull icon configuration
更加友好,more friendly
元素的,Elemental
数据域变量更新,Data field variable update
协议,protocol
直到目标节点调换成,until the target node is switched to
当鼠标悬停行数据上,When the mouse hovers over the row data
覆盖动态,overlay dynamic
这样就能拿到目标组件的实例了,This will get the instance of the target component
日期字符串,date string
输入配置,input configuration
标准化处理,Standardization
是有,there is
新的公用渲染器,new common renderer
子动作,Subaction
地理位置选择,location selection
表格模式下虚拟列表,Virtual list in table mode
默认情况下,by default
单元格内的组件,components inside the cell
获取每个层级的值,Get the value of each level
数据展示模式,Data display mode
关联后不用自己实现,"After association, you don’t need to implement it yourself"
这个时候需要额外配置,Additional configuration is required at this time
新增按钮文字,Add button text
所以这里应该忽略,So it should be ignored here
导航项收纳,Navigation item storage
表达式已配置,expression configured
生成快捷键项的配置,Generate shortcut key configuration
两栏,two columns
避免报错,avoid error
如果希望关闭上层弹窗,If you want to close the upper pop-up window
马尔康市,Malcolm
周期,cycle
列宽度是否支持调整,Whether the column width supports adjustment
建议使用新版本规则,It is recommended to use the new version of the rule
最多的那一行,the line with the most
点击关闭时触发,Fired when close is clicked
嵌套,nesting
返回大于等于,returns greater than or equal to
节点标题自定义,Node title customization
是否再从,Do you want to start again
避免看不清,avoid blindness
更多内容查看,View more content
可知,It can be seen
当前表单数据,current form data
横县,Heng County
隐藏时删除表单项值,Remove form item value when hidden
默认数组,default array
即便超长也得写入,"Even if it is too long, it must be written"
叶子节点点击也会默认选中,Leaf node click will also be selected by default
这样不仅让目标组件刷新,This not only refreshes the target component
如果变量名就是,If the variable name is
记住登录,remember to log in
如果不想增加一个新的,If you don't want to add a new
更新链,update chain
组件可以自定义,Components can be customized
放大功能和打开外部链接功能是冲突的,The zoom-in function and the function of opening external links are in conflict
模板组件,template component
标记个范围,mark a range
水平布局渲染器,horizontal layout renderer
平坝区,Pingba District
插页,insert
文本输入,text input
可对数据进行清除,Data can be cleared
前一次不构成条件,The previous time did not constitute a condition
等比例留空短边,Leave the short side blank in equal proportions
长滨乡,Changbin Township
用来在表单中,used in the form
滚动显示,scroll display
沙河市,Shahe City
配置默认值,configure defaults
添加子表单项,Add sub form item
默认编辑只会作用在前端,Default editing will only work on the front end
未压缩版本大概是,The uncompressed version is roughly
水平分栏,horizontal column
的解决方案是基于,The solution is based on
不应该出现在编辑态里面,Should not appear in the edit mode
当前步骤保存接口,Current step save interface
请先填写表单的名字,Please fill in the name of the form first
查看配置,view configuration
点击帧画面时是否跳转视频对应的点,Whether to jump to the point corresponding to the video when clicking on the frame
默认全部选中,Select all by default
去掉结束变量,remove end variable
可以控制列文本对齐方式,Can control column text alignment
可以切换编辑器的展示模式为输入框组合模式,You can switch the display mode of the editor to input box combination mode
任城区,Rencheng District
新增内容,new content
都配置了,are configured
控制展开按钮的位置,Control the position of the expand button
不加进去,do not add
指定,specify
可以将,can
用来展示文字或者段落,Used to display text or paragraphs
并把改变后的值作为参数传入,And pass the changed value as a parameter
接口返回中,The interface is returning
中的取值结果变化时,When the result of the value in
海勃湾区,Bay Area
作为,as
脚本支撑,script support
定义类型,define type
事件动作需要,event action requires
这个,this
点击按钮之后,after clicking the button
变化会自动清空,Changes will be cleared automatically
西乡塘区,Xixiangtang District
属性所配置的属性值,The attribute value configured by the attribute
拆分单元格,split cell
双流区,Shuangliu District
版本后使用,use after version
如果是带有单位的输入,If it is an input with units
台南市,Tainan City
提交触发,submit trigger
无意义,meaningless
娄烦县,Loufan County
不合法的,illegal
配置初始化接口可从远端加载数据,The configuration initialization interface can load data from the remote end
后来发现这样反而增加了使用成本,It was later found that this increased the cost of use
在输入控件旁展示提示,Display tooltips next to input controls
可用来映射的数据为接口的实际数据,The data available for mapping is the actual data of the interface
三都水族自治县,Sandu Shui Autonomous County
如果设置了可展开,Expandable if set
这样会导致两个问题,This causes two problems
为普通字符串,as a normal string
抽屉,drawer
请不要输入,please do not enter
手动拖拽行排序时触发,Triggered when manually dragging and sorting rows
溪口乡,Xikou Township
请选择日期范围,Please select a date range
把当前表单的值提交给目标组件,Submit the value of the current form to the target component
阴影配置,shadow configuration
命中条件,hit condition
删除,delete
黄大仙,Wong Tai Sin
信息合并一起,information merged together
程序错误,program error
假,Fake
的形状,shape
属性支持自定义快捷选择日期范围快捷键,Attributes support custom shortcuts to select date range shortcut keys
可以从上下文中动态获取图片或文字,Images or text can be dynamically obtained from the context
提示,hint
将其他组件的值发送到目标组件,Send the value of other components to the target component
配置的默认值与当前表单项配置的数据格式不符合,The configured default value does not match the data format of the current form item configuration
所需的依赖,required dependencies
只能通过,only through
这是纯文本,this is plain text
数据一次性加载到浏览器,Data is loaded to the browser at one time
倒计时结束的精确时间,The precise time when the countdown ends
造桥乡,Zaoqiao Township
自定义删除按钮开关,Custom delete button switch
来处理,to deal with
中有参数,There are parameters in
泰兴市,Taixing City
你的组件希望可以被别的组件引用,Your component hopes to be referenced by other components
组合输入,Combined input
为表单项报错信息,Report an error message for a form item
我们给,we give
需要剔除的其他属性,Other attributes that need to be removed
判断配置,Judgment configuration
先隐藏了,hide first
允许最少个数,Minimum number allowed
左侧的标题文字,title text on the left
离石区,Lishi District
映射状态颜色,map state color
当前页面,The current page
隆阳区,Longyang District
是有效,is effective
返回哪些,which to return
可新增行,new line can be added
用于变量赋值,for variable assignment
输入框,Input box
的时候生效,effective when
用户名已存在,Username already exists
清水河县,Qingshuihe County
也可以通过表单提交接口返回错误信息,Error information can also be returned through the form submission interface
没法按这个判断,can't judge by this
可以利用数据映射语法,data mapping syntax
基础字体,basic font
江安县,Jiang'an County
交付测试,delivery test
转换成普通格式的,converted to normal format
更多格式类型请参考,"For more format types, please refer to"
用于判断是否是平台预置组件,Used to determine whether it is a platform preset component
其他细节参考,Other details reference
没有匹配到替换成原值,"If there is no match, replace it with the original value"
存储仓库,storage warehouse
执行动作时,when performing an action
时间必须在,time must be at
对比编辑器,compare editor
普通色盘,Normal color wheel
在提交表单的时候就变成了这个随机数,"When the form is submitted, it becomes this random number"
垂直展示,vertical display
避免重复处理,avoid duplication
提示文字,Prompt text
固定展开列的宽度,Fixed expanded column width
对于更复杂的数据获取情况,For more complex data acquisition situations
自动刷新,Auto Refresh
昌吉市,Changji City
对文本进行,to text
但会减低还原度,but will reduce the recovery
可以通过接口获取动态选项,Dynamic options can be obtained through the interface
的类型定义,type definition for
如果不传这个,if you don't pass this
定时检测间隔,Timing detection interval
数据源名字,data source name
表头还可以再一次进行分组,The header can also be grouped again
生效,take effect
组成新的数组,form a new array
如需执行多次表单提交,To perform multiple form submissions
的数据应该已经,The data should have been
吉安市,Ji'an City
即可实现同步,to achieve synchronization
避免底部多个空行,Avoid multiple blank lines at the bottom
配置,configuration
初始化数据域接口地址,Initialize the data domain interface address
且目标组件是增删改查组件时,And when the target component is a CRUD component
查找最大和最小行列位置,Find the largest and smallest row and column positions
状态配置组件,state configuration component
只是拖入时的初始配置不一样,It's just that the initial configuration when dragged in is different
如果你不想从第一列开始合并单元格,If you don't want to merge cells starting from the first column
仅垂直内联模式支持,Only supported in vertical inline mode
公式表达式弹窗内容过滤,Formula expression pop-up window content filtering
资阳区,Ziyang District
淡色,pale color
表格形式,form
教育经历,Educational experience
两个参数,two parameters
发一个广播,send a broadcast
专辑名称,The album name
日期时间数值,datetime value
行单击,row click
昭觉县,Zhaojue County
上面输入框输入时同步更新表单内的输入框,Synchronously update the input box in the form when the input box above is entered
则该,then the
很明显在,obviously in
初始化分页,Initialize pagination
过滤,filter
一般用来干掉,generally used to kill
目前只有部分支持,Currently only partially supported
开关值变化时触发,Triggered on switch value change
洮南市,Taonan City
济宁市市辖区,Jining Municipal District
渲染器事件,renderer event
同时,at the same time
合并属性,Merge attributes
可以支持不同格式的文本输入框,Text input boxes that can support different formats
展示列的名称,display column names
输入框值变化时触发,Triggered when the value of the input box changes
可结合,can be combined
立山区,Lishan District
里转换回数字的方式,How to convert back to numbers in
后续的节点会补上来,Subsequent nodes will be added
跟随底部,follow the bottom
选中的项,selected item
手动输入的值,manually entered value
点选日期后是否关闭弹窗,Whether to close the popup window after clicking the date
打头,start
级联模式下虚拟列表,Virtual list in cascade mode
如果选项组不固定,If the option group is not fixed
后匹配,after match
判断父元素是否为自由容器元素,Determine whether the parent element is a free container element
刷新组件请求,Refresh component request
版本有关,version related
属性后,After attributes
组件应该没有被渲染,Component should not be rendered
尼勒克县,Nilek County
所以是静态,So it's static
选中项自动滚动至可见位置,The selected item is automatically scrolled to the visible position
类型处理之后会变成,"After type processing, it becomes"
是不支持表达式,is not supported expression
则默认不显示该分页组件,The pagination component is not displayed by default
列显示变化,column display changes
失焦事件,out of focus event
津南区,Jinnan District
建立当前页面公共的配置项,Create common configuration items for the current page
配置了数据发送,Data sending is configured
按钮集合外层类名,Button collection outer class name
触发表单校验,trigger form validation
固定缩放,fixed zoom
过滤搜索字段中的特殊字符,Filter on special characters in the search field
数据源要求不同,Data source requirements are different
永丰县,Yongfeng County
组件的更多属性请参考,"For more properties of components, please refer to"
扩展现有组件,Extend existing components
专门用来渲染,dedicated to rendering
犍为县,Qianwei County
背景间隔,background interval
详细展示请采用,"For detailed display, please use"
可支持动画,Can support animation
有三种配置,There are three configurations
可以实现无限循环的渲染器,A renderer that can implement infinite loops
默认操作全部开启,All operations are enabled by default
是否更新,Whether to update
失效,fail
福田区,Futian district
时间输入范围限制,Time input range limit
横山区,Hengshan District
数字禁用,digital ban
如果输入的内容是字符串就自动开启,"If the input content is a string, it will be automatically turned on"
开启后对应节点值会包含父节点,"After it is turned on, the corresponding node value will contain the parent node"
是否展示行角标,Whether to display the line corner mark
渲染发生错误,rendering error
暂无可用字段,No field available yet
西林县,Xilin County
接口初始拉不拉取,Whether the interface is initially pulled or not
这样可以基于不同的,This can be based on different
数据格式,Data Format
值得,worth
因为不知道动作都有哪些字段,Because I don't know what fields the action has
统一转换成,Unity converts to
李沧区,Licang District
来组装业务逻辑,to assemble the business logic
除了提交,In addition to submitting
配置子表单项,Configure sub-form items
点击折叠,click to collapse
是否是第一次点击,Is it the first click
取该成员的记录,Get the member's record
可通过拖动每行中的,by dragging the
在线体验,online experience
孟连傣族拉祜族佤族自治县,Menglian Dai Lahu and Wa Autonomous County
成功,success
而线上使用,while using online
解析后的数据,parsed data
应对什么样的场景,what kind of scene to deal with
顶部标签,top tab
弥勒市,Maitreya City
可以指定更新的数据索引,The updated data index can be specified
只有在点击卡片的时候才会渲染,It will only be rendered when the card is clicked
主要是为了处理以下,Mainly to handle the following
右边距,right margin
即该列所有记录,"That is, all records in this column"
此描述将作为提示信息显示,This description will be displayed as a tooltip
无标签提示,no label prompt
不细化具体是啥动作了,I don't specify what the specific action is.
生成的,Generated
作为示例,as an example
每种拖拽模式都需要实现这些约定,Each drag mode needs to implement these conventions
因为它会把,because it will put
可以对监听的事件配置一组动作,A set of actions can be configured for the monitored events
可以尝试手动修改任意导航项的,You can try to manually modify any navigation item's
二选一,pick one of two
是否展示步长,Whether to display the step size
下面是一些不太常用的,Here are some less commonly used
最近您使用的标签,Tabs you've used recently
明白了何为,understand why
是否选择,whether to choose
但目前还没实现分页渲染,But paged rendering has not yet been implemented
三亚市市辖区,Districts of Sanya City
这里就只演示第三种,Here only the third
时相反,reverse
这个就相对精确匹配了,This is a relatively exact match
也不会有选中动作,There will be no selection action
对齐目标的位置,The location of the alignment target
这是标题,this is the title
所以在公式解析里面做了兼容,"Therefore, compatibility is made in the formula analysis"
需要有文心千帆,need a literary heart
表单默认情况下回车就会提交,"By default, the form will be submitted by pressing Enter"
来展示,to show
重新验证一次,re-authenticate
等一小会,wait for a while
叶节点默认为,Leaf nodes default to
我是增加按钮,i am add button
直接选,directly choose
丰润区,Fengrun District
定南县,Dingnan County
来实现动态生成导航,to dynamically generate navigation
样式类,style class
异步任务,asynchronous task
字段为接口返回的必要字段,field is a required field returned by the interface
组合多条多行,combine multiple lines
开启单条点击整个区域选中,Open a single click to select the entire area
标签不合法,label is illegal
两个字段,two fields
子表单展示模式,Subform display mode
新建区,Xinjian District
选项组格式,option group format
数据更新动画的延迟,Delay in data update animation
配置是否显示,Whether the configuration is displayed
始终保持静态展示,Always keep a static display
菠萝,Pineapple
等待用户选择新的区间再播放,Wait for the user to select a new interval before playing
相关的功能,related functions
虽然可以用,Although it can be used
是否收起边栏,Whether to collapse the sidebar
首次加载并不走到,First load does not go to
顶部外层,top outer layer
组件名称,component name
遮罩层背景颜色默认是透明的,The background color of the mask layer is transparent by default
饶平县,Raoping County
这个机制可以在,This mechanism can be
将提交返回内容发送到其它组件,Send submission return content to other components
想要限制多个类型,Want to restrict multiple types
改放,replay
是否都不可用,Are none available
新县,new county
类似容器,similar container
数据操作,data manipulation
只能设置为一种类型,Can only be set to one type
不适合用,Not suitable for use
纳溪区,Naxi District
分,point
岳池县,Yuechi County
默认创建的,created by default
如果想实现内部同步更新,If you want to implement internal synchronous updates
切换器,switcher
文件大小大于此值将不允许上传,Files larger than this value will not be allowed to upload
默认情况下裁剪结果是,By default the cropped result is
你可以修改表单项查看数据域变化,You can modify form items to view data field changes
关联的变量,associated variable
合并行,merge line
正安县,Zheng'an County
组件内置已经支持此功能,The built-in component already supports this function
则会依次循环从该列表中取颜色作为系列颜色,It will take the color from the list in turn as a series of colors
放到,put in
甘南县,Gannan County
每次修改都验证,Validate every modification
等操作,wait for operation
女,female
如果决定结束的字段名不是,If the field name that decides to end is not
比如选中,"For example, select"
中直接用函数,Use the function directly in
都匀市,Duyun City
如果你想要详细点的信息,If you want more detailed information
支出,expenditure
不需要加载,no need to load
还没有配置任何权限,No permissions configured yet
看下面这个例子,Look at the example below
实现展现和编辑分离,Realize the separation of presentation and editing
如果列太多显示会很臃肿,"If there are too many columns, the display will be bloated"
洋浦经济开发区,Yangpu Economic Development Zone
组件渲染的主要入口,The main entry point for component rendering
仅挑选,pick only
支持地址栏,Support address bar
会根据,will be based on
中处理掉了,processed in
是否展示边框,Whether to display the border
仁爱区,Ren'ai District
结束的做一次,do it once
用来关联,used to associate
年以内,within a year
删除前的请求,Request before deletion
并且支持配置成,And supports configuration as
树下拉框,tree drop down box
这样会造成配置项,This will result in configuration items
标签方向,label orientation
普兰县,Plain County
暂时去掉,remove temporarily
显示可以作为,display can be used as
前端是不会处理排序结果,The front end will not process the sorting results
属性可以配置自定义的图标,Properties can configure custom icons
可以设置外部链接,External links can be set
等动画结束,Wait for the animation to end
行政编码,Administrative code
自定义导出文件名,Custom export filename
默认展示的是本地时间,The default display is local time
分栏布局,Column layout
菜单中存在配置错误,There is a misconfiguration in the menu
为了演示效果,In order to demonstrate the effect
控件类型,control type
请前往一下文档查看属性含义,Please go to the following documents to view the meaning of attributes
三台县,Santai County
检测是否有冒号,Check if there is a colon
返回的数据可用于这个,The returned data can be used in this
表单内锚点导航示例,Example of anchor navigation within a form
如果目标是一个,If the target is a
方便后续渲染,Convenient for subsequent rendering
更新输入组合的值,Update the value of the input combination
文字本身的阴影,the shadow of the text itself
工作信息,work info
默认模式是解析成对象数组,The default mode is to parse into an array of objects
编辑选项弹框的默认配置如下,The default configuration of the edit options dialog is as follows
可直接用,can be used directly
动态显示相对时间时,When displaying relative time dynamically
轮询请求初始化接口,Polling request initialization interface
如果是简易模式,if easy mode
皇姑区,Huanggu District
向下,down
可配置,Configurable
属于,belong
每个成员表示一个可选字段,Each member represents an optional field
不管是用户配置的静态,Regardless of user-configured static
中区,Central District
古田县,Gutian County
根据搜索结果中的那个字段进行分类,Sort by that field in the search results
逻辑兼容旧用法,Logically compatible with old usage
提交后校验选项,Check option after submission
一般调试日志,General debug log
详细查看,View in detail
开启裁剪,Turn on cropping
支持传入多个符号,Support for passing in multiple symbols
日期时间范围选择,date time range selection
新增表单,Add form
表单项的禁用状态等,"Disabled state of form items, etc."
如果不希望这个功能,If you do not want this feature
脚手架也可以是多个,Scaffolding can also be multiple
默认插入当前选中节点,Insert the currently selected node by default
的选项消除校验信息,The option to eliminate the checksum information
过滤器中查询字段和,query field in the filter and
配置删除接口,Configure delete interface
图标选择器,icon selector
新园乡,Xinyuan Xiang
进行打印,to print
内联样式,inline styles
跳过被合并的行,skip merged rows
值发生变化时,when the value changes
合并或者覆盖,merge or overwrite
还需要将,also need to
屯门区,Tuen Mun District
尝试解析,try to parse
感觉还是不能支持这个功能,I still can't support this function
来实现点击某一行后进行操作,To realize the operation after clicking on a row
映射展示控件,Map display controls
把一些功能性的东西放在了这个里面,put some functional stuff in this
河东区,East District
当前值不唯一,current value is not unique
如果没有开启这些区域的内容修改功能,If content modification is not turned on for these areas
申请自己的,apply for your own
数值对应的整形,integer corresponding to the value
赣州市市辖区,Ganzhou Municipal District
为完整的对象,for the complete object
然后使用对应的地址,Then use the corresponding address
配置中都能使用,Can be used in configuration
颍东区,Yingdong District
导航子菜单,Navigation Submenu
宝坻区,Baodi District
如果无法配置出你想要的请求结构,If you cannot configure the request structure you want
成员可以是其他渲染器,Members can be other renderers
直接跳转指定路径,Jump directly to the specified path
也有可能是数字,may also be a number
检查列是全选还是部分选择,Check if a column is fully or partially selected
测试组织属性配置面板的国际化,Test the internationalization of the organization properties configuration panel
重复点击则取消区域选中,Click repeatedly to cancel the area selection
白银市市辖区,District of Baiyin City
武安市,Wu'an City
支持模板语法如,Supports template syntax such as
将当前已选中的选项的某个字段的值,The value of a field of the currently selected option
其次使用,second use
礼县,Li County
同步有些问题,There are some problems with sync
数据格式参考,Data Format Reference
是否为合法的电话号码,Is it a legal phone number
直接把里面的变量解析出来即可,Just parse the variables inside
除了支持,In addition to support
查下问题,check the problem
所以需要先初始化一下,So you need to initialize it first
南和县,Nanhe County
容器标签名,container tag name
会将所有表单项整理成一个对象发送过过去,Will organize all form items into an object and send it over
是否可多选,Is it possible to choose multiple
需要让,need to let
大湖乡,Dahu Township
整个表单静态方式展示,The entire form is displayed statically
但最终页面渲染的时候,But when the final page renders
简单情况,simple case
首层,first floor
数据类型取决于目标组件所需数据值类型,The data type depends on the type of data value required by the target component
这是一段很长很长很长很长很长很长很长很长很长很长的备注,This is a long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long long
可以用来加载数据或者加载渲染器配置,Can be used to load data or load renderer configuration
宁远县,Ningyuan County
包发布了出来,package released
给自定义组件预览用的,For custom component preview
穿梭器,Shuttle
需要自己加上,need to add
方便生成颜色类的控件,Controls that are convenient for generating color classes
请输入锚点标题,Please enter an anchor title
顺庆区,Shunqing District
大冶市,Daye City
吉安县,Ji'an County
还可以是数组,can also be an array
这个是运行态的功能,This is a running function
也就是这个单元格自己的位置,"That is, the position of the cell itself"
图片水平方向偏移量,image horizontal offset
还没支持,not yet supported
获取包含指定子动作的动作,Get the action that contains the specified sub-action
第二栏,second column
随机数字,random number
选项标签样式类名,option label style class name
最后一个元素的多个,multiple of the last element
垂直合并列数,Merge Columns Vertically
肃南裕固族自治县,Sunan Yugur Autonomous County
石鼓区,Shigu District
但是只能在编辑器中编辑,but can only be edited in the editor
更多文档,more documents
掌握他们也能完成大部分定制工作,Mastering them can also do most of the customization work
需要考虑,need to consider
面包项类,Bread Items
准备阶段,Preparation Phase
复选框,check box
如果设置,if set
便于更好的缓存,for better caching
宿迁市,Suqian
抚顺市市辖区,Fushun Municipal District
最小行高,minimum row height
日期范围字符串,date range string
再来,again
时间范围必须统一成同一天,Time ranges must be unified into the same day
将接口返回的数据添加到自身的数据域中,Add the data returned by the interface to its own data field
展示浮层箭头,show overlay arrow
选中父节点,Select the parent node
连云港市市辖区,District of Lianyungang City
返回,return
用于设置期望数值类型,Used to set the expected value type
配置后将隐藏超过该层级的菜单项,"After configuration, menu items beyond this level will be hidden"
触发渲染器事件,Trigger renderer events
起点对齐,start alignment
表格标题,table title
展示默认,show default
容易导致,easy to cause
观察上例,Observe the above example
建议不超过,It is recommended not to exceed
浮层出现位置,The position where the floating layer appears
支持的相对值关键字有,Supported relative value keywords are
大社区,big community
需要执行两边,Need to implement both sides
引入了多个会兼容,Introduced multiple sessions compatible with
选中的,Chosen
本步骤提交,Submit this step
安化县,Anhua County
对应的配置项分别是,The corresponding configuration items are
字段值整体赋值到对应的,The field value is assigned as a whole to the corresponding
路飞,Luffy
建议您使用,It is recommended that you use
时间日期类组件,Time and date class components
一种是数字,one is digital
页面地址,page address
成功类,Success
版本,Version
合计,total
当为移动模式时,when in mobile mode
去掉提交按钮,remove submit button
当表单提交成功后,When the form is submitted successfully
可以将字符传通过分隔符分离成数组,Characters can be separated into arrays by delimiters
默认不填写将上传到,"If not filled in by default, it will be uploaded to"
默认自动填充相关字段,Autofill related fields by default
点击自定义列,Click on Customize Columns
的内容,Content
一段文案,a copy
控制只对第一层数组成员展示快捷操作入口,Control to only display the shortcut operation entry for the first-level array members
两个配置项,two configuration items
凉山彝族自治州,Liangshan Yi Autonomous Prefecture
没有分配角色,no role assigned
默认插入到,By default inserted into
重置拖拽,reset drag
可拖拽的提示文字,Draggable prompt text
之间,between
崁顶乡,Kanding Township
可配置项为,The configurable items are
项的,item of
根据关键字获取组件列表,Get a list of components based on keywords
带搜索,with search
如果是数字,if number
厦门市市辖区,Districts of Xiamen City
公式值校验错误,Formula value validation error
值唯一,unique value
表单项值,form item value
文字内容,text content
武夷山市,Wuyishan City
南京市市辖区,Nanjing Municipal District
宁德市市辖区,District of Ningde City
新增表权限,Add table permissions
数组即即可,array is enough
魏都区,Weidu District
如果是第一次点击就可以点任意地址,"If it is the first click, you can click any address"
当在一棵树中,when in a tree
来禁用表单项,to disable form items
渐变色需要单独设计一个渐变色,Gradient color needs to design a gradient color separately
使用场景,scenes to be used
列数量,number of columns
用于生成短随机数,Used to generate short random numbers
糟糕,Oops
就用,then apply
变量中的,in the variable
玉环市,Yuhuan City
常规标签,regular label
呼和浩特市市辖区,Hohhot Municipal District
如果不想关闭弹窗时触发,Fired when you don't want to close the popup window
揭西县,Jiexi County
大足区,Dazu District
粘贴,paste
因此不推荐使用,Therefore it is not recommended to use
通霄镇,Tongxiao Town
你必须懂,you must understand
点击的时候会自动跳转到对应位置开始播放,"When clicked, it will automatically jump to the corresponding position to start playing"
不过,but
用于显示,for display
接口发送条件,Interface send condition
使用外部函数获取数据,Get data using external functions
利州区,Lizhou District
南漳县,Nanzhang County
执行的动作列表,list of actions performed
主要用于解决,mainly used to solve
返回命中的位置,return the location of the hit
营口市市辖区,District of Yingkou City
可以直接将编辑表单项渲染至表格内操作,Edit form items can be rendered directly into the table for operations
验证信息,verify message
只请求一次,request only once
兴宁市,Xingning City
那直接跳过,then just skip
替换表格行,replace table row
记录发布时的,when the record was published
只要设置了,Just set
校验函数,check function
验证输入是否符合邮箱的格式,Verify that the input conforms to the format of the mailbox
关闭轮询的条件,Conditions to turn off polling
中的位置,position in
将返回数据同步到过滤器上,Synchronize the returned data to the filter
打开确认对话框,Open confirmation dialog
皋兰县,Gaolan County
新增成员默认值,Add new member defaults
下一节我们会介绍,In the next section we will introduce
包括,include
数字输入组件事件,Digital Input Component Events
编辑类型,edit type
结果搜索功能,Results search function
玉龙纳西族自治县,Yulong Naxi Autonomous County
请求条件,request condition
添加搜索历史,add search history
班级,class
作为单元格自定义样式的配置,Configuration as a cell custom style
等比例裁剪长边,Proportionally crop the long side
不能被,cannot be
即当前列表中所有符合该成员条件的记录总数,"That is, the total number of records in the current list that meet the membership criteria"
左侧插入一列,Insert a column to the left
值格式会变成对象,The value format becomes an object
当前例子中,In the current example
格尔木市,Golmud
阿里山乡,Alishan Township
裁剪时可缩放,Scalable while cropping
默认参数,default parameters
数据元素点击,data element click
开启压缩,Turn on compression
目标路径不是纯对象,target path is not a plain object
翠峦区,Cuiluan District
松原市市辖区,District of Songyuan City
隆回县,Longhui County
卡片渲染器,card renderer
从内容审核到机器管理,From content moderation to machine management
请输入更多的内容,Please enter more content
淮北市市辖区,Districts of Huaibei City
今日激活时的自定义样式,Custom styles when activated today
整体,overall
标签上的属性,attribute on the tag
默认展开级别,default expansion level
理论上可以支持所有非表达项的所有组件,"In theory, all components of all non-expression items can be supported"
荃湾,Tsuen Wan
还是通过最简单的示例进行讲解,Or through the simplest example to explain
按钮文本,button text
支持相对值设定,Support relative value setting
